account_id,cluster,segment,umap_x,umap_y
ACCT-00076,-1,Unassigned,9.232904,7.9811273
ACCT-00077,2,Low-Engagement,15.352284,-7.03468
ACCT-00078,-1,Unassigned,8.055786,8.217921
ACCT-00079,2,Low-Engagement,14.773174,-1.8150382
ACCT-00080,-1,Unassigned,7.8688383,5.3544807
ACCT-00081,-1,Unassigned,6.3816667,7.0042
ACCT-00082,-1,Unassigned,11.24279,8.172368
ACCT-00083,-1,Unassigned,6.816833,10.614737
ACCT-00084,-1,Unassigned,5.1174083,13.126191
ACCT-00085,-1,Unassigned,7.8068695,12.038684
ACCT-00086,-1,Unassigned,7.730665,3.8369327
ACCT-00087,-1,Unassigned,5.411201,7.832837
ACCT-00088,-1,Unassigned,5.981113,10.6383
ACCT-00089,-1,Unassigned,6.326238,7.455888
ACCT-00090,-1,Unassigned,5.425891,10.869801
ACCT-00091,2,Low-Engagement,10.36563,-5.754605
ACCT-00092,-1,Unassigned,5.692767,4.471371
ACCT-00093,1,At-Risk Accounts,-0.8323355,-0.31597435
ACCT-00094,-1,Unassigned,7.144479,6.919252
ACCT-00095,-1,Unassigned,8.595189,7.5414777
ACCT-00096,-1,Unassigned,6.059892,6.0009646
ACCT-00097,-1,Unassigned,7.0961084,11.4997835
ACCT-00098,0,At-Risk Accounts,5.759507,19.704828
ACCT-00099,-1,Unassigned,7.08421,4.6036906
ACCT-00100,-1,Unassigned,11.9763155,8.530339
ACCT-00101,-1,Unassigned,7.7891154,6.0316854
ACCT-00102,-1,Unassigned,9.6514,9.770788
ACCT-00103,-1,Unassigned,8.71075,5.247603
ACCT-00104,2,Low-Engagement,10.962232,-7.0286684
ACCT-00105,2,Low-Engagement,12.328676,-4.7357697
ACCT-00106,-1,Unassigned,6.352337,8.020808
ACCT-00107,-1,Unassigned,5.8669896,4.8194346
ACCT-00108,-1,Unassigned,5.444012,10.79245
ACCT-00109,2,Low-Engagement,15.406545,-1.1866237
ACCT-00110,1,At-Risk Accounts,-6.363546,0.95375335
ACCT-00111,-1,Unassigned,5.7282634,10.549951
ACCT-00112,1,At-Risk Accounts,-5.4926314,-1.11116
ACCT-00113,-1,Unassigned,9.510643,9.919563
ACCT-00114,-1,Unassigned,5.5540123,11.001148
ACCT-00115,-1,Unassigned,9.232207,6.9002295
ACCT-00116,2,Low-Engagement,13.852266,-3.3043818
ACCT-00117,2,Low-Engagement,12.792761,-4.7076015
ACCT-00118,-1,Unassigned,5.6196194,6.8661985
ACCT-00119,-1,Unassigned,12.234331,8.30357
ACCT-00120,-1,Unassigned,5.428779,7.6953487
ACCT-00121,-1,Unassigned,11.647135,7.3108363
ACCT-00122,-1,Unassigned,5.5954595,11.468354
ACCT-00123,-1,Unassigned,7.8364687,8.60162
ACCT-00124,-1,Unassigned,6.7149568,16.4478
ACCT-00125,1,At-Risk Accounts,-4.8747354,1.7123019
ACCT-00126,-1,Unassigned,6.616704,5.975039
ACCT-00127,0,At-Risk Accounts,4.7459507,21.516209
ACCT-00128,0,At-Risk Accounts,6.977534,19.674765
ACCT-00129,-1,Unassigned,9.875404,9.836314
ACCT-00130,-1,Unassigned,5.034793,9.4760065
ACCT-00131,-1,Unassigned,8.657285,7.4905047
ACCT-00132,-1,Unassigned,10.026274,9.973564
ACCT-00133,-1,Unassigned,6.89702,5.852745
ACCT-00134,1,At-Risk Accounts,-2.1530814,-1.2100179
ACCT-00135,-1,Unassigned,5.290954,12.192064
ACCT-00136,-1,Unassigned,7.989713,5.396099
ACCT-00137,1,At-Risk Accounts,-0.7910762,-0.93905616
ACCT-00138,2,Low-Engagement,10.352153,-6.6034794
ACCT-00139,-1,Unassigned,5.2023296,10.602994
ACCT-00140,-1,Unassigned,9.603844,9.232244
ACCT-00141,1,At-Risk Accounts,-2.9664738,1.2383286
ACCT-00142,2,Low-Engagement,14.170071,-3.5969067
ACCT-00143,1,At-Risk Accounts,-1.5590805,-1.6803523
ACCT-00144,1,At-Risk Accounts,-2.2880692,-1.8045502
ACCT-00145,1,At-Risk Accounts,-2.4541838,1.3275596
ACCT-00146,-1,Unassigned,10.524593,8.38362
ACCT-00147,-1,Unassigned,5.500828,6.7205067
ACCT-00148,1,At-Risk Accounts,-2.7240946,0.47053587
ACCT-00149,-1,Unassigned,8.849343,17.762545
ACCT-00150,-1,Unassigned,7.336795,5.525082
ACCT-00151,-1,Unassigned,9.312011,5.744801
ACCT-00152,0,At-Risk Accounts,5.8140635,18.815105
ACCT-00153,-1,Unassigned,5.975865,4.849465
ACCT-00154,-1,Unassigned,7.4585686,11.977972
ACCT-00155,2,Low-Engagement,10.263229,-5.38472
ACCT-00156,-1,Unassigned,7.8241286,8.086613
ACCT-00157,-1,Unassigned,10.536988,7.56191
ACCT-00158,-1,Unassigned,10.334694,7.776739
ACCT-00159,-1,Unassigned,7.2978396,4.6364527
ACCT-00160,0,At-Risk Accounts,6.114432,21.858501
ACCT-00161,-1,Unassigned,8.721429,7.996544
ACCT-00162,-1,Unassigned,6.4155827,11.062289
ACCT-00163,-1,Unassigned,4.694623,13.145071
ACCT-00164,-1,Unassigned,9.996219,9.316319
ACCT-00165,1,At-Risk Accounts,-2.3024275,2.4372547
ACCT-00166,-1,Unassigned,12.05782,8.560886
ACCT-00167,2,Low-Engagement,11.423179,-6.894943
ACCT-00168,-1,Unassigned,5.7131977,5.2994447
ACCT-00169,2,Low-Engagement,16.595886,-4.394336
ACCT-00170,-1,Unassigned,10.49629,8.869218
ACCT-00171,-1,Unassigned,7.2098866,6.259355
ACCT-00172,-1,Unassigned,7.3971367,6.2466435
ACCT-00173,-1,Unassigned,10.285935,7.7403016
ACCT-00174,-1,Unassigned,5.866855,11.126959
ACCT-00175,-1,Unassigned,3.8402753,12.578825
ACCT-00176,-1,Unassigned,3.3897033,7.897812
ACCT-00177,-1,Unassigned,7.8031006,3.9168937
ACCT-00178,2,Low-Engagement,10.585468,-6.770229
ACCT-00179,2,Low-Engagement,13.587363,-1.4577619
ACCT-00180,-1,Unassigned,10.698119,7.057934
ACCT-00181,2,Low-Engagement,10.354187,-5.641804
ACCT-00182,1,At-Risk Accounts,-0.8288555,-0.35086572
ACCT-00183,1,At-Risk Accounts,-5.3078613,-1.9809622
ACCT-00184,-1,Unassigned,7.202554,6.213935
ACCT-00185,2,Low-Engagement,15.37112,-6.637134
ACCT-00186,1,At-Risk Accounts,-4.159508,-1.9431305
ACCT-00187,-1,Unassigned,6.2437286,11.292095
ACCT-00188,2,Low-Engagement,10.375176,-6.5874653
ACCT-00189,1,At-Risk Accounts,-3.5480194,1.7803684
ACCT-00190,2,Low-Engagement,14.763046,-5.169404
ACCT-00191,0,At-Risk Accounts,6.015295,20.57229
ACCT-00192,0,At-Risk Accounts,5.9039927,21.080397
ACCT-00193,2,Low-Engagement,16.290686,-5.430451
ACCT-00194,0,At-Risk Accounts,3.526937,19.902187
ACCT-00195,-1,Unassigned,5.666299,10.385932
ACCT-00196,-1,Unassigned,5.390922,7.7637153
ACCT-00197,2,Low-Engagement,16.380928,-2.7946079
ACCT-00198,0,At-Risk Accounts,3.3834202,19.615023
ACCT-00199,-1,Unassigned,7.2970853,7.831781
ACCT-00200,-1,Unassigned,9.119202,4.4415336
ACCT-00201,2,Low-Engagement,15.181103,-5.8309174
ACCT-00202,1,At-Risk Accounts,-5.587664,-0.36844382
ACCT-00203,0,At-Risk Accounts,3.7073386,18.878391
ACCT-00204,-1,Unassigned,5.0263963,13.265607
ACCT-00205,0,At-Risk Accounts,3.9601855,20.786467
ACCT-00206,0,At-Risk Accounts,4.7269635,21.234821
ACCT-00207,-1,Unassigned,7.8212337,5.0595865
ACCT-00208,-1,Unassigned,8.2221155,11.733618
ACCT-00209,-1,Unassigned,10.954007,9.2116585
ACCT-00210,2,Low-Engagement,14.823007,-7.278623
ACCT-00211,1,At-Risk Accounts,-1.4119902,-0.3470512
ACCT-00212,-1,Unassigned,7.6568446,8.015049
ACCT-00213,2,Low-Engagement,13.421684,-4.134007
ACCT-00214,-1,Unassigned,9.143042,5.3889666
ACCT-00215,2,Low-Engagement,16.45089,-5.237934
ACCT-00216,-1,Unassigned,6.4462867,11.006389
ACCT-00217,-1,Unassigned,6.2998595,10.597348
ACCT-00218,-1,Unassigned,6.911588,4.1890635
ACCT-00219,1,At-Risk Accounts,-3.2526028,-1.8099009
ACCT-00220,-1,Unassigned,7.832017,6.641593
ACCT-00221,1,At-Risk Accounts,-2.9528573,3.1737585
ACCT-00222,2,Low-Engagement,13.169179,-1.320136
ACCT-00223,-1,Unassigned,9.01959,4.265515
ACCT-00224,1,At-Risk Accounts,-2.10929,-1.7999153
ACCT-00225,-1,Unassigned,10.338782,7.151142
ACCT-00226,-1,Unassigned,7.274904,18.552721
ACCT-00227,1,At-Risk Accounts,-2.974898,3.0979397
ACCT-00228,2,Low-Engagement,13.49231,-6.815499
ACCT-00229,-1,Unassigned,8.099331,11.64204
ACCT-00230,0,At-Risk Accounts,4.736956,21.460037
ACCT-00231,1,At-Risk Accounts,-6.2938385,0.96363074
ACCT-00232,-1,Unassigned,8.894592,4.245189
ACCT-00233,-1,Unassigned,3.4314034,7.8596168
ACCT-00234,2,Low-Engagement,16.693632,-4.829379
ACCT-00235,-1,Unassigned,8.231766,4.4615817
ACCT-00236,-1,Unassigned,7.440974,6.7356644
ACCT-00237,-1,Unassigned,8.698697,7.503413
ACCT-00238,-1,Unassigned,3.5843363,12.097358
ACCT-00239,0,At-Risk Accounts,6.545184,21.644722
ACCT-00240,2,Low-Engagement,14.553086,-4.150292
ACCT-00241,2,Low-Engagement,16.060575,-5.33344
ACCT-00242,0,At-Risk Accounts,7.324592,20.8737
ACCT-00243,1,At-Risk Accounts,-1.819156,-0.46060336
ACCT-00244,-1,Unassigned,7.190487,5.594775
ACCT-00245,2,Low-Engagement,11.6385145,-7.1322637
ACCT-00246,-1,Unassigned,7.537608,6.2426553
ACCT-00247,-1,Unassigned,5.885971,7.401742
ACCT-00248,-1,Unassigned,11.856373,8.986059
ACCT-00249,1,At-Risk Accounts,-4.315977,-2.0060816
ACCT-00250,2,Low-Engagement,13.183554,-1.7121621
ACCT-00251,-1,Unassigned,7.039193,3.901072
ACCT-00252,-1,Unassigned,3.432926,7.832295
ACCT-00253,-1,Unassigned,5.62405,10.470526
ACCT-00254,0,At-Risk Accounts,4.0254874,17.929184
ACCT-00255,-1,Unassigned,7.755752,4.018064
ACCT-00256,2,Low-Engagement,15.960661,-5.6545305
ACCT-00257,-1,Unassigned,6.2621636,10.802358
ACCT-00258,-1,Unassigned,8.363733,15.491386
ACCT-00259,1,At-Risk Accounts,-1.928977,0.25732213
ACCT-00260,0,At-Risk Accounts,6.349714,18.965328
ACCT-00261,-1,Unassigned,8.451731,5.9530897
ACCT-00262,1,At-Risk Accounts,-1.5534623,0.901942
ACCT-00263,0,At-Risk Accounts,6.9635124,20.2111
ACCT-00264,2,Low-Engagement,10.596723,-6.044085
ACCT-00265,0,At-Risk Accounts,3.8795125,18.555477
ACCT-00266,1,At-Risk Accounts,-6.4224544,1.2315965
ACCT-00267,-1,Unassigned,6.1663423,10.373751
ACCT-00268,-1,Unassigned,7.9933424,10.327347
ACCT-00269,-1,Unassigned,4.9178843,13.15482
ACCT-00270,-1,Unassigned,4.1356096,13.10983
ACCT-00271,0,At-Risk Accounts,6.045996,18.652317
ACCT-00272,-1,Unassigned,7.6537466,17.298277
ACCT-00273,-1,Unassigned,9.064574,9.655517
ACCT-00274,2,Low-Engagement,11.928122,-5.224036
ACCT-00275,1,At-Risk Accounts,-6.2842407,1.173569
ACCT-00276,1,At-Risk Accounts,-3.9624152,2.573493
ACCT-00277,-1,Unassigned,5.40981,7.931023
ACCT-00278,-1,Unassigned,10.218805,5.8934827
ACCT-00279,-1,Unassigned,8.213314,5.772713
ACCT-00280,-1,Unassigned,7.9989295,17.52622
ACCT-00281,-1,Unassigned,6.352339,9.546782
ACCT-00282,-1,Unassigned,5.598882,10.436016
ACCT-00283,-1,Unassigned,6.115279,10.293806
ACCT-00284,-1,Unassigned,5.930663,7.532449
ACCT-00285,-1,Unassigned,11.182038,8.583081
ACCT-00286,-1,Unassigned,8.699576,17.616478
ACCT-00287,-1,Unassigned,6.7780166,5.6730633
ACCT-00288,-1,Unassigned,6.696884,5.3479757
ACCT-00289,-1,Unassigned,5.043244,10.485203
ACCT-00290,2,Low-Engagement,13.144585,-5.463404
ACCT-00291,-1,Unassigned,7.6891193,16.136337
ACCT-00292,2,Low-Engagement,13.174652,-3.3255117
ACCT-00293,-1,Unassigned,11.55769,9.599598
ACCT-00294,2,Low-Engagement,15.260027,-4.0139256
ACCT-00295,-1,Unassigned,8.226196,5.855279
ACCT-00296,-1,Unassigned,12.344415,7.6673617
ACCT-00297,-1,Unassigned,12.112579,8.389273
ACCT-00298,2,Low-Engagement,10.395753,-2.9559956
ACCT-00299,-1,Unassigned,7.88873,7.2475896
ACCT-00300,-1,Unassigned,8.497547,6.335218
ACCT-00301,-1,Unassigned,7.5523233,11.797634
ACCT-00302,1,At-Risk Accounts,-2.745832,2.5796397
ACCT-00303,1,At-Risk Accounts,-0.94207793,-0.17949426
ACCT-00304,-1,Unassigned,8.349633,5.6834145
ACCT-00305,-1,Unassigned,10.662968,8.996091
ACCT-00306,-1,Unassigned,5.7595873,7.120503
ACCT-00307,2,Low-Engagement,12.113466,-4.090313
ACCT-00308,-1,Unassigned,9.499858,9.659229
ACCT-00309,-1,Unassigned,7.161632,12.011064
ACCT-00310,-1,Unassigned,9.127873,9.498388
ACCT-00311,-1,Unassigned,7.572318,6.794821
ACCT-00312,-1,Unassigned,7.0788636,10.338425
ACCT-00313,-1,Unassigned,6.882158,7.5884933
ACCT-00314,-1,Unassigned,9.7038355,9.226517
ACCT-00315,1,At-Risk Accounts,-3.8231053,3.6106458
ACCT-00316,-1,Unassigned,6.107135,4.729105
ACCT-00317,2,Low-Engagement,12.99968,-1.5240914
ACCT-00318,-1,Unassigned,5.5470157,6.1391363
ACCT-00319,-1,Unassigned,8.9774,6.8917365
ACCT-00320,-1,Unassigned,8.181192,4.749792
ACCT-00321,1,At-Risk Accounts,-6.08977,2.286147
ACCT-00322,-1,Unassigned,6.461076,8.239576
ACCT-00323,-1,Unassigned,10.108742,9.80528
ACCT-00324,2,Low-Engagement,13.934717,-3.7021039
ACCT-00325,-1,Unassigned,7.9966946,4.080647
ACCT-00326,-1,Unassigned,8.943834,7.644345
ACCT-00327,1,At-Risk Accounts,-2.8334928,2.795486
ACCT-00328,-1,Unassigned,12.348679,7.5122457
ACCT-00329,-1,Unassigned,9.232617,8.373825
ACCT-00330,2,Low-Engagement,11.258946,-4.5496583
ACCT-00331,-1,Unassigned,5.434496,10.338423
ACCT-00332,-1,Unassigned,11.16892,7.946783
ACCT-00333,-1,Unassigned,11.912601,7.7725496
ACCT-00334,-1,Unassigned,6.3466644,8.0173855
ACCT-00335,2,Low-Engagement,14.091492,-3.5175939
ACCT-00336,-1,Unassigned,6.738974,10.541006
ACCT-00337,-1,Unassigned,8.597062,7.4798117
ACCT-00338,-1,Unassigned,5.1418414,10.967554
ACCT-00339,2,Low-Engagement,16.57832,-4.37548
ACCT-00340,0,At-Risk Accounts,4.9510403,21.318186
ACCT-00341,-1,Unassigned,9.934677,7.410821
ACCT-00342,-1,Unassigned,8.204502,5.761597
ACCT-00343,1,At-Risk Accounts,-4.7849035,-2.1898036
ACCT-00344,-1,Unassigned,7.8307624,4.3996153
ACCT-00345,-1,Unassigned,10.850071,7.6615944
ACCT-00346,-1,Unassigned,7.211829,5.5330534
ACCT-00347,1,At-Risk Accounts,-2.397714,1.331064
ACCT-00348,1,At-Risk Accounts,-3.9339232,-1.8361214
ACCT-00349,-1,Unassigned,7.0909824,7.2044854
ACCT-00350,-1,Unassigned,11.356656,7.6380715
ACCT-00351,-1,Unassigned,5.699599,11.217438
ACCT-00352,-1,Unassigned,6.128122,6.944014
ACCT-00353,-1,Unassigned,9.168247,7.332506
ACCT-00354,-1,Unassigned,9.902415,9.972513
ACCT-00355,1,At-Risk Accounts,-2.5780933,-0.013916747
ACCT-00356,2,Low-Engagement,13.769496,-0.92766374
ACCT-00357,-1,Unassigned,11.500715,7.782787
ACCT-00358,-1,Unassigned,5.890139,7.946976
ACCT-00359,-1,Unassigned,6.2861853,7.3679094
ACCT-00360,2,Low-Engagement,12.481069,-4.0386853
ACCT-00361,0,At-Risk Accounts,5.957403,21.954735
ACCT-00362,0,At-Risk Accounts,7.1749015,21.284678
ACCT-00363,-1,Unassigned,7.6743226,11.469179
ACCT-00364,2,Low-Engagement,14.169834,-0.48615572
ACCT-00365,-1,Unassigned,9.467667,9.663188
ACCT-00366,2,Low-Engagement,13.280979,-1.3198624
ACCT-00367,-1,Unassigned,12.443564,8.077962
ACCT-00368,-1,Unassigned,10.349197,9.101984
ACCT-00369,-1,Unassigned,9.642206,7.9914083
ACCT-00370,-1,Unassigned,12.181818,7.280395
ACCT-00371,-1,Unassigned,7.9118323,8.159345
ACCT-00372,1,At-Risk Accounts,-2.895582,2.7674134
ACCT-00373,1,At-Risk Accounts,-4.1035943,2.8938243
ACCT-00374,-1,Unassigned,7.2500196,12.160642
ACCT-00375,-1,Unassigned,5.169951,10.395256
ACCT-00376,-1,Unassigned,12.137297,7.7015524
ACCT-00377,-1,Unassigned,8.888999,9.678627
ACCT-00378,1,At-Risk Accounts,-3.88996,0.7911867
ACCT-00379,2,Low-Engagement,12.237797,-4.070907
ACCT-00380,-1,Unassigned,5.9547124,6.551418
ACCT-00381,-1,Unassigned,9.327599,7.461307
ACCT-00382,2,Low-Engagement,13.439822,-1.3295164
ACCT-00383,-1,Unassigned,5.645462,7.426451
ACCT-00384,-1,Unassigned,10.057398,9.519331
ACCT-00385,2,Low-Engagement,13.7535305,-0.9802028
ACCT-00386,-1,Unassigned,8.5497875,5.32477
ACCT-00387,-1,Unassigned,8.465181,6.770516
ACCT-00388,0,At-Risk Accounts,6.574712,19.347523
ACCT-00389,-1,Unassigned,8.416942,5.0847735
ACCT-00390,-1,Unassigned,10.012526,7.849778
ACCT-00391,0,At-Risk Accounts,4.139118,18.055315
ACCT-00392,-1,Unassigned,11.612588,9.313337
ACCT-00393,2,Low-Engagement,14.530062,-3.884492
ACCT-00394,-1,Unassigned,4.388306,13.1377325
ACCT-00395,1,At-Risk Accounts,-4.0942745,3.3357387
ACCT-00396,2,Low-Engagement,11.035015,-7.027532
ACCT-00397,1,At-Risk Accounts,-3.8441494,-0.2480609
ACCT-00398,1,At-Risk Accounts,-5.4449425,3.7469578
ACCT-00399,-1,Unassigned,6.410634,7.8430734
ACCT-00400,-1,Unassigned,10.686545,8.922892
ACCT-00401,-1,Unassigned,8.638002,5.6699567
ACCT-00402,-1,Unassigned,8.839197,4.767025
ACCT-00403,0,At-Risk Accounts,6.339927,19.811853
ACCT-00404,-1,Unassigned,8.43288,4.1927953
ACCT-00405,2,Low-Engagement,15.428925,-6.071156
ACCT-00406,-1,Unassigned,5.757024,7.2412086
ACCT-00407,2,Low-Engagement,13.760193,-2.0508358
ACCT-00408,-1,Unassigned,5.74485,10.493325
ACCT-00409,-1,Unassigned,7.093474,5.046214
ACCT-00410,-1,Unassigned,9.347652,6.763378
ACCT-00411,2,Low-Engagement,10.637413,-6.8961334
ACCT-00412,-1,Unassigned,8.4105,11.354776
ACCT-00413,-1,Unassigned,7.703344,6.09589
ACCT-00414,-1,Unassigned,4.1019516,12.740284
ACCT-00415,-1,Unassigned,7.759773,11.322333
ACCT-00416,0,At-Risk Accounts,7.028645,21.407156
ACCT-00417,-1,Unassigned,8.971537,5.432545
ACCT-00418,-1,Unassigned,6.34526,10.660224
ACCT-00419,-1,Unassigned,9.075871,5.6791964
ACCT-00420,-1,Unassigned,8.247272,4.735806
ACCT-00421,-1,Unassigned,8.847588,17.890482
ACCT-00422,-1,Unassigned,3.6294527,12.236357
ACCT-00423,-1,Unassigned,6.2937045,12.2549095
ACCT-00424,2,Low-Engagement,10.271467,-3.306277
ACCT-00425,2,Low-Engagement,12.054057,-4.853834
ACCT-00426,-1,Unassigned,5.400511,10.943927
ACCT-00427,-1,Unassigned,8.443993,5.563709
ACCT-00428,-1,Unassigned,8.445505,17.782904
ACCT-00429,-1,Unassigned,8.745289,7.606134
ACCT-00430,2,Low-Engagement,16.390476,-3.170125
ACCT-00431,-1,Unassigned,8.720621,4.4681563
ACCT-00432,-1,Unassigned,10.171928,7.2469454
ACCT-00433,-1,Unassigned,8.4064,5.375674
ACCT-00434,-1,Unassigned,5.482611,16.785002
ACCT-00435,0,At-Risk Accounts,6.9179626,20.0284
ACCT-00436,-1,Unassigned,6.590654,10.421711
ACCT-00437,-1,Unassigned,5.557387,4.5764103
ACCT-00438,-1,Unassigned,9.1763315,6.9054656
ACCT-00439,-1,Unassigned,9.40271,7.313906
ACCT-00440,2,Low-Engagement,12.691412,-7.7591367
ACCT-00441,-1,Unassigned,6.2056613,11.002974
ACCT-00442,-1,Unassigned,11.418161,7.186269
ACCT-00443,-1,Unassigned,8.49907,11.400002
ACCT-00444,1,At-Risk Accounts,-2.0017664,0.31832302
ACCT-00445,-1,Unassigned,10.708164,7.112446
ACCT-00446,2,Low-Engagement,15.396067,-6.3201857
ACCT-00447,2,Low-Engagement,15.834021,-5.7487316
ACCT-00448,-1,Unassigned,4.646079,13.079391
ACCT-00449,-1,Unassigned,11.804568,7.726391
ACCT-00450,-1,Unassigned,5.0966945,17.157127
ACCT-00451,-1,Unassigned,8.797051,6.259393
ACCT-00452,-1,Unassigned,8.011482,7.5282726
ACCT-00453,0,At-Risk Accounts,3.572919,19.990068
ACCT-00454,-1,Unassigned,8.792816,9.50857
ACCT-00455,0,At-Risk Accounts,6.172372,19.09013
ACCT-00456,-1,Unassigned,7.148721,5.4984665
ACCT-00457,-1,Unassigned,5.7761893,7.261436
ACCT-00458,2,Low-Engagement,16.627203,-5.0217643
ACCT-00459,2,Low-Engagement,13.302796,-3.366863
ACCT-00460,-1,Unassigned,5.877279,6.2756147
ACCT-00461,0,At-Risk Accounts,6.5456533,21.623032
ACCT-00462,2,Low-Engagement,13.398206,-1.4880979
ACCT-00463,-1,Unassigned,9.791709,8.589558
ACCT-00464,-1,Unassigned,8.659175,6.9719124
ACCT-00465,-1,Unassigned,7.893543,4.666434
ACCT-00466,2,Low-Engagement,13.434952,-4.029801
ACCT-00467,2,Low-Engagement,11.95654,-7.448437
ACCT-00468,-1,Unassigned,7.597809,12.023539
ACCT-00469,1,At-Risk Accounts,-6.073021,2.310891
ACCT-00470,1,At-Risk Accounts,-5.8086724,-0.1417984
ACCT-00471,1,At-Risk Accounts,-6.063145,2.70594
ACCT-00472,0,At-Risk Accounts,6.587015,19.123983
ACCT-00473,-1,Unassigned,5.457866,11.037726
ACCT-00474,-1,Unassigned,8.987474,9.154255
ACCT-00475,1,At-Risk Accounts,-6.380395,0.69100446
ACCT-00476,-1,Unassigned,6.055628,4.71159
ACCT-00477,-1,Unassigned,11.7718,7.8186574
ACCT-00478,2,Low-Engagement,13.570482,-4.7959867
ACCT-00479,1,At-Risk Accounts,-2.9802825,1.8182225
ACCT-00480,1,At-Risk Accounts,-3.2393057,4.666782
ACCT-00481,0,At-Risk Accounts,4.395504,21.252186
ACCT-00482,1,At-Risk Accounts,-6.347741,1.8659016
ACCT-00483,-1,Unassigned,10.984525,9.091587
ACCT-00484,-1,Unassigned,4.668101,12.97598
