account_id,tier,region,industry,is_churned,annual_contract_value,onboarding_date,tenure_days,tier_rank,booking_count_30d,total_spend_30d,avg_booking_amount_30d,booking_count_90d,total_spend_90d,avg_booking_amount_90d,booking_count_180d,total_spend_180d,avg_booking_amount_180d,days_since_last_booking,total_booking_count,total_spend,booking_volume_trend,spend_trend,spend_acceleration,cancellation_rate_30d,cancellation_rate_90d,num_active_products,product_diversity_score,active_contract_value,contract_renewal_count,has_neo,has_egencia_analytics_studio,has_meetings_and_events,has_travel_consulting,total_ticket_count,avg_resolution_hours,ticket_rate_per_month,p1_p2_escalation_ratio,ticket_count_90d,ticket_trend_ratio,avg_severe_resolution_hours,ticket_category_concentration,out_of_policy_rate_30d,out_of_policy_rate_90d,oop_trend,destination_diversity,avg_lead_time_days,clv_12m,feature_timestamp
ACCT-00010,Silver,EMEA,Media & Entertainment,False,82424.23,2021-09-26,462,2,3.0,995.0,331.6666666666667,7.0,2125.95,303.70714285714286,19.0,6794.22,357.5905263157895,4.0,44.0,13881.25,0.05000000000000001,23.55668131868132,44.80652631578948,0.4,0.4166666666666667,3.0,0.7924812501441737,39390.64,0,1.0,0.0,1.0,1.0,8.0,86.57124999999999,0.5770616113744076,0.25,3.0,1.7329172141918527,12.139999999999999,0.5,0.0,0.08333333333333333,-0.08333333333333333,6.0,28.15625,45889.21,2026-04-14 20:17:53.742139
ACCT-00011,Bronze,EMEA,Energy,False,38155.1,2020-03-27,1010,1,1.0,149.89,149.89,6.0,730.41,121.735,16.0,3679.88,229.9925,2.0,57.0,11832.23,-0.018695652173913047,-8.816230434782607,86.0815,0.6666666666666666,0.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.0,30.504782608695653,1.0295882352941177,0.2608695652173913,2.0,0.6475080462396922,6.211666666666666,0.43478260869565216,0.0,0.0,0.0,6.0,28.923076923076923,0.0,2026-04-14 20:17:53.742139
ACCT-00012,Bronze,North America,Media & Entertainment,False,24012.46,2023-02-05,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8034.39,2026-04-14 20:17:53.742139
ACCT-00013,Bronze,EMEA,Education,False,19258.41,2023-07-10,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6348.7,2026-04-14 20:17:53.742139
ACCT-00014,Silver,EMEA,Government,True,86444.77,2024-10-18,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-14 20:17:53.742139
ACCT-00015,Gold,EMEA,Media & Entertainment,False,204460.88,2022-07-14,171,3,17.0,8250.08,485.2988235294118,58.0,30679.02,528.9486206896552,108.0,59462.62,550.5798148148149,1.0,108.0,59462.62,1.2857142857142858,420.37485714285714,0.0,0.19047619047619047,0.22666666666666666,3.0,0.7924812501441737,81349.13,0,1.0,1.0,0.0,1.0,3.0,36.693333333333335,2.767272727272727,0.3333333333333333,3.0,0.3613666228646518,11.02,0.6666666666666666,0.14285714285714285,0.14666666666666667,-0.003809523809523818,6.0,28.83211678832117,216845.45,2026-04-14 20:17:53.742139
ACCT-00016,Silver,APAC,Telecommunications,False,76865.59,2021-08-17,502,2,3.0,803.93,267.97666666666663,14.0,5876.54,419.7528571428571,38.0,13882.44,365.32736842105265,24.0,96.0,36633.36,0.041666666666666664,-11.362823529411772,-35.242988721804466,0.5,0.3333333333333333,1.0,-7.213475800929758e-11,18826.47,0,1.0,0.0,0.0,0.0,8.0,24.1625,0.5497065462753951,0.25,1.0,0.6063841436706088,11.84,0.625,0.0,0.14285714285714285,-0.14285714285714285,6.0,28.394957983193276,35704.1,2026-04-14 20:17:53.742139
ACCT-00017,Platinum,EMEA,Government,False,308151.68,2024-04-09,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-14 20:17:53.742139
ACCT-00018,Bronze,North America,Telecommunications,False,23829.85,2021-03-28,644,1,1.0,137.22,137.22,4.0,631.9300000000001,157.98250000000002,7.0,1198.97,171.28142857142856,3.0,23.0,5213.12,-0.029411764705882353,-5.933964285714282,-123.51000000000002,0.0,0.0,1.0,-7.213475800929758e-11,3515.92,0,1.0,0.0,0.0,0.0,18.0,52.78888888888889,0.9872432432432433,0.1111111111111111,1.0,0.33764053146444734,12.045,0.2777777777777778,0.0,0.0,0.0,5.0,34.285714285714285,4052.92,2026-04-14 20:17:53.742139
ACCT-00019,Bronze,North America,Energy,False,20656.06,2023-05-31,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9214.55,2026-04-14 20:17:53.742139
ACCT-00020,Bronze,North America,Manufacturing,False,23376.39,2024-09-18,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-14 20:17:53.742139
ACCT-00021,Silver,North America,Manufacturing,False,97571.68,2020-01-10,1087,2,2.0,785.62,392.81,16.0,5233.92,327.12,33.0,11871.63,359.74636363636364,19.0,112.0,44131.74,0.03956521739130435,5.881504347826089,-124.45013636363637,0.3333333333333333,0.15789473684210525,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.0,40.203043478260874,1.1042902208201895,0.2608695652173913,3.0,0.9055590470205106,11.455,0.34782608695652173,0.0,0.0,0.0,6.0,31.015503875968992,18442.43,2026-04-14 20:17:53.742139
ACCT-00022,Bronze,EMEA,Media & Entertainment,False,19941.14,2024-08-16,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-14 20:17:53.742139
ACCT-00023,Bronze,North America,Pharmaceuticals,True,23340.76,2021-01-11,720,1,0.0,0.0,0.0,1.0,247.27,247.27,4.0,880.85,220.2125,68.0,33.0,6845.08,-0.020779220779220776,-7.410812030075188,16.764166666666654,0.0,0.6666666666666666,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,35.0,37.97457142857143,1.621613394216134,0.08571428571428572,4.0,0.8222263938426881,2.3633333333333333,0.3142857142857143,0.0,0.3333333333333333,0.0,6.0,31.42222222222222,0.0,2026-04-14 20:17:53.742139
ACCT-00024,Bronze,North America,Financial Services,False,29059.04,2022-05-29,217,1,0.0,0.0,0.0,3.0,459.05,153.01666666666668,5.0,815.64,163.128,37.0,7.0,1079.59,0.31428571428571433,67.95700000000001,31.15299999999999,0.0,0.4,1.0,-7.213475800929758e-11,2714.68,0,0.0,1.0,0.0,0.0,1.0,18.92,1.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.4,0.0,5.0,29.818181818181817,2664.13,2026-04-14 20:17:53.742139
ACCT-00025,Gold,North America,Manufacturing,False,183835.86,2021-04-16,625,3,12.0,5745.95,478.82916666666665,34.0,16050.08,472.06117647058824,68.0,35352.12,519.8841176470588,1.0,240.0,142402.18,0.10259740259740262,-92.02892207792206,-105.27926263463132,0.07692307692307693,0.10526315789473684,1.0,-7.213475800929758e-11,25145.84,0,1.0,0.0,0.0,0.0,3.0,23.093333333333334,0.8952941176470589,0.0,0.0,0.0,0.0,0.6666666666666666,0.15384615384615385,0.18421052631578946,-0.03036437246963561,6.0,32.10958904109589,103840.39,2026-04-14 20:17:53.742139
ACCT-00026,Silver,APAC,Real Estate,False,142620.46,2020-09-21,832,2,4.0,1041.8200000000002,260.45500000000004,10.0,2440.78,244.07800000000003,23.0,7872.6,342.28695652173917,1.0,116.0,39160.07,-0.15608695652173912,-53.50383913043478,27.706956521739187,0.0,0.09090909090909091,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.0,48.49454545454545,0.5264779874213836,0.0,2.0,1.2662764305339864,0.0,0.36363636363636365,0.0,0.0,0.0,6.0,29.355555555555554,13378.23,2026-04-14 20:17:53.742139
ACCT-00027,Platinum,APAC,Government,True,537329.98,2023-07-06,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139653.87,2026-04-14 20:17:53.742139
ACCT-00028,Gold,North America,Education,False,125486.18,2022-05-30,216,3,12.0,5063.7,421.97499999999997,39.0,20349.92,521.7928205128204,83.0,45754.6,551.2602409638554,3.0,100.0,58808.32,1.1428571428571428,132.25285714285712,-216.6056413890858,0.2,0.1702127659574468,3.0,0.7924812501441737,64767.2,0,0.0,1.0,1.0,1.0,5.0,50.708,1.7295454545454545,0.0,4.0,0.770915462111257,0.0,0.4,0.2,0.1276595744680851,0.07234042553191491,6.0,27.728813559322035,201569.75,2026-04-14 20:17:53.742139
ACCT-00029,Bronze,North America,Healthcare,False,18705.23,2022-07-19,166,1,1.0,36.75,36.75,3.0,521.77,173.92333333333332,12.0,2397.83,199.81916666666666,26.0,12.0,2397.83,-0.2,-93.17171428571429,0.0,0.5,0.25,2.0,0.49999999985573046,6769.870000000001,0,1.0,0.0,0.0,1.0,6.0,35.24833333333333,1.1707692307692308,0.16666666666666666,2.0,0.5694261936049058,2.44,0.5,0.0,0.0,0.0,3.0,33.0,7242.49,2026-04-14 20:17:53.742139
ACCT-00030,Bronze,North America,Technology,False,17950.49,2022-06-02,213,1,2.0,470.98,235.49,12.0,2324.46,193.705,20.0,4589.42,229.471,16.0,20.0,4589.42,0.8214285714285713,54.254285714285714,0.0,0.0,0.3333333333333333,2.0,0.49999999985573046,6388.65,0,1.0,0.0,1.0,0.0,3.0,98.25333333333333,0.6297931034482759,0.0,1.0,0.5292743466199444,0.0,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666669,6.0,27.966666666666665,11763.39,2026-04-14 20:17:53.742139
ACCT-00031,Bronze,North America,Consulting,False,18812.3,2023-09-27,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1758.76,2026-04-14 20:17:53.742139
ACCT-00032,Silver,North America,Telecommunications,False,92887.47,2024-10-30,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-14 20:17:53.742139
ACCT-00033,Silver,North America,Pharmaceuticals,False,53443.77,2022-07-25,160,2,8.0,1917.8400000000001,239.73000000000002,24.0,6295.02,262.2925,40.0,11253.79,281.34475000000003,6.0,40.0,11253.79,1.542857142857143,253.9688571428572,0.0,0.2,0.14285714285714285,1.0,-7.213475800929758e-11,2206.32,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,-0.07142857142857142,6.0,24.772727272727273,25951.06,2026-04-14 20:17:53.742139
ACCT-00034,Silver,North America,Education,False,72051.06,2020-10-11,812,2,1.0,428.06,428.06,11.0,3595.56,326.8690909090909,20.0,7042.5,352.125,1.0,108.0,32373.510000000002,-0.03869565217391304,-11.728621739130435,53.4609375,0.0,0.21428571428571427,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,57.148,0.3973890339425588,0.2,0.0,0.0,16.2,0.4,1.0,0.2857142857142857,0.7142857142857143,6.0,31.9618320610687,18584.82,2026-04-14 20:17:53.742139
ACCT-00035,Gold,LATAM,Pharmaceuticals,False,268564.81,2021-08-21,498,3,19.0,10408.37,547.8089473684211,47.0,27246.53,579.7134042553191,84.0,49932.020000000004,594.4288095238096,1.0,241.0,143257.44,0.14705882352941177,121.50865196078435,-27.621913367756633,0.13636363636363635,0.1896551724137931,1.0,-7.213475800929758e-11,33693.53,0,1.0,0.0,0.0,0.0,1.0,8.89,1.0,1.0,0.0,0.0,8.89,1.0,0.09090909090909091,0.10344827586206896,-0.012539184952978052,6.0,29.791095890410958,136894.97,2026-04-14 20:17:53.742139
ACCT-00036,Gold,EMEA,Pharmaceuticals,False,168813.67,2022-06-25,190,3,18.0,10925.45,606.9694444444444,60.0,35620.08,593.668,125.0,79678.04,637.42432,4.0,132.0,85206.56,1.8571428571428572,757.057857142857,-152.36425142857138,0.14285714285714285,0.16666666666666666,1.0,-7.213475800929758e-11,23906.92,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.1111111111111111,-0.015873015873015872,6.0,32.01923076923077,161308.11,2026-04-14 20:17:53.742139
ACCT-00037,Silver,APAC,Media & Entertainment,False,96115.68,2020-07-09,906,2,3.0,894.8399999999999,298.28,8.0,2434.76,304.345,20.0,6214.85,310.7425,1.0,100.0,33669.39,-0.0491304347826087,-15.168021739130433,-3.0527941176470677,0.0,0.1111111111111111,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,32.0,53.7203125,1.37971671388102,0.125,3.0,0.7247864651773981,4.475,0.375,0.0,0.2222222222222222,-0.2222222222222222,6.0,30.663716814159294,11439.43,2026-04-14 20:17:53.742139
ACCT-00038,Gold,North America,Real Estate,True,99021.78,2021-02-23,677,3,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11717.22,901.3246153846153,150.0,147.0,90765.16,-0.018575851393188854,62.11374613003095,321.767068214804,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.0,51.063125,0.943875968992248,0.0625,0.0,0.0,1.7,0.375,0.0,0.0,0.0,6.0,30.508928571428573,0.0,2026-04-14 20:17:53.742139
ACCT-00039,Bronze,North America,Energy,False,22220.39,2021-01-05,726,1,1.0,290.53,290.53,1.0,290.53,290.53,2.0,783.1199999999999,391.55999999999995,13.0,5.0,2223.17,-0.016666666666666666,-1.3870000000000062,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.0,40.18545454545455,1.9495778748180497,0.13636363636363635,6.0,1.0258630987934534,5.371666666666667,0.36363636363636365,0.0,0.0,0.0,3.0,38.3,0.0,2026-04-14 20:17:53.742139
ACCT-00040,Silver,LATAM,Retail,False,58737.31,2024-11-11,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-14 20:17:53.742139
ACCT-00041,Bronze,North America,Logistics & Transportation,False,27248.28,2022-01-02,364,1,2.0,579.4,289.7,8.0,2836.0,354.5,10.0,4030.14,403.014,23.0,25.0,7987.04,-0.042424242424242406,14.3695,139.22066666666666,0.0,0.3333333333333333,1.0,-7.213475800929758e-11,5094.65,0,1.0,0.0,0.0,0.0,5.0,57.11800000000001,0.6764444444444445,0.0,0.0,0.0,0.0,0.6,0.0,0.08333333333333333,-0.08333333333333333,4.0,30.151515151515152,9024.52,2026-04-14 20:17:53.742139
ACCT-00042,Bronze,EMEA,Legal,False,17239.16,2024-05-24,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-14 20:17:53.742139
ACCT-00043,Silver,LATAM,Telecommunications,True,129671.77,2022-10-04,89,2,5.0,1246.61,249.32199999999997,13.0,3755.57,288.89,13.0,3755.57,288.89,11.0,13.0,3755.57,-0.5,-170.7800000000001,0.0,0.2857142857142857,0.35,1.0,-7.213475800929758e-11,20057.7,0,0.0,0.0,1.0,0.0,8.0,70.345,3.6896969696969695,0.375,8.0,0.7227332457293035,4.96,0.375,0.42857142857142855,0.25,0.17857142857142855,5.0,24.25,30594.29,2026-04-14 20:17:53.742139
ACCT-00044,Bronze,EMEA,Retail,False,12704.61,2022-07-13,172,1,1.0,48.74,48.74,4.0,353.26,88.315,12.0,1601.93,133.49416666666667,23.0,12.0,1601.93,-0.11428571428571428,-59.117428571428576,0.0,0.5,0.3333333333333333,1.0,-7.213475800929758e-11,2940.62,0,0.0,1.0,0.0,0.0,1.0,16.31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,-0.3333333333333333,6.0,33.0625,8438.51,2026-04-14 20:17:53.742139
ACCT-00045,Bronze,North America,Logistics & Transportation,False,33518.36,2024-09-10,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-14 20:17:53.742139
ACCT-00046,Silver,EMEA,Pharmaceuticals,False,101078.65,2023-06-17,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8788.17,2026-04-14 20:17:53.742139
ACCT-00047,Silver,North America,Media & Entertainment,True,87436.67,2021-03-14,658,2,2.0,272.96999999999997,136.48499999999999,5.0,1013.02,202.60399999999998,12.0,4251.57,354.29749999999996,2.0,48.0,16841.58,0.0756634669678148,-11.856506493506496,-34.13333333333338,0.6666666666666666,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,37.79,0.4949593495934959,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.2,-0.033333333333333354,6.0,35.015151515151516,2754.24,2026-04-14 20:17:53.742139
ACCT-00048,Bronze,North America,Consulting,False,25408.25,2021-05-30,581,1,2.0,608.25,304.125,7.0,1022.71,146.10142857142858,10.0,1358.5800000000002,135.858,16.0,20.0,3251.1600000000003,0.13736263736263737,19.844454545454543,-105.7003333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17.0,48.656470588235294,0.903106457242583,0.0,3.0,1.1072891705959649,0.0,0.4117647058823529,0.0,0.14285714285714285,-0.14285714285714285,6.0,27.357142857142858,1013.02,2026-04-14 20:17:53.742139
ACCT-00049,Gold,North America,Media & Entertainment,False,311297.52,2023-05-01,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121573.49,2026-04-14 20:17:53.742139
ACCT-00050,Gold,APAC,Consulting,False,348257.83,2020-01-06,1091,3,9.0,3197.1,355.23333333333335,35.0,16891.7,482.62,70.0,38741.57,553.451,8.0,272.0,159991.03,0.13826086956521738,108.11529999999999,-111.440282051282,0.35714285714285715,0.20454545454545456,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.0,52.9075,0.7755414012738854,0.1875,2.0,0.8596145422689443,3.7133333333333334,0.4375,0.14285714285714285,0.13636363636363635,0.006493506493506496,6.0,29.62727272727273,72677.4,2026-04-14 20:17:53.742139
ACCT-00051,Platinum,EMEA,Media & Entertainment,False,468910.0,2020-10-06,817,4,35.0,30191.28,862.608,100.0,77391.49,773.9149000000001,180.0,148168.52,823.1584444444444,1.0,650.0,566376.81,0.3730434782608696,223.57103913043483,-78.61788466947962,0.16666666666666666,0.16666666666666666,1.0,-7.213475800929758e-11,74128.81,0,0.0,1.0,0.0,0.0,18.0,38.30722222222222,0.755751724137931,0.16666666666666666,3.0,1.3231858665498613,11.713333333333333,0.5555555555555556,0.11904761904761904,0.14166666666666666,-0.022619047619047622,6.0,30.150259067357513,361379.96,2026-04-14 20:17:53.742139
